date,hive_1
2014-03-11-20-21,20
2014-03-11-20-21,24
2014-03-11-20-21,55
2014-03-11-20-22,100
2014-03-11-20-22,11
2014-03-11-20-22,13
2014-03-11-20-22,19
2014-03-11-20-22,46
2014-03-11-20-22,54
2014-03-11-20-22,63
2014-03-11-20-22,80
2014-03-11-20-23,0
2014-03-11-20-23,14
2014-03-11-20-23,14
2014-03-11-20-23,17
2014-03-11-20-23,21
2014-03-11-20-23,22
2014-03-11-20-23,23
2014-03-11-20-23,29
2014-03-11-20-23,31
2014-03-11-20-23,39
2014-03-11-20-23,4
2014-03-11-20-23,42
2014-03-11-20-23,42
2014-03-11-20-23,50
2014-03-11-20-23,52
2014-03-11-20-23,55
2014-03-11-20-23,56
2014-03-11-20-23,65
2014-03-11-20-23,67
2014-03-11-20-23,68
2014-03-11-20-23,70
2014-03-11-20-23,72
2014-03-11-20-23,78
2014-03-11-20-23,79
2014-03-11-20-23,80
2014-03-11-20-23,83
2014-03-11-20-23,90
2014-03-11-20-23,93
2014-03-11-20-23,98
2014-03-11-20-24,36
2014-03-11-20-24,66
2014-03-11-20-24,80
2014-03-11-20-29,1
2014-03-11-20-29,10
2014-03-11-20-29,11
2014-03-11-20-29,15
2014-03-11-20-29,21
2014-03-11-20-29,29
2014-03-11-20-29,3
2014-03-11-20-29,34
2014-03-11-20-29,41
2014-03-11-20-29,45
2014-03-11-20-29,47
2014-03-11-20-29,47
2014-03-11-20-29,47
2014-03-11-20-29,6
2014-03-11-20-29,64
2014-03-11-20-29,64
2014-03-11-20-29,68
2014-03-11-20-29,71
2014-03-11-20-29,73
2014-03-11-20-29,79
2014-03-11-20-29,8
2014-03-11-20-29,80
2014-03-11-20-29,81
2014-03-11-20-29,88
2014-03-11-20-29,89
2014-03-11-20-29,9
2014-03-11-20-30,0
2014-03-11-20-30,11
2014-03-11-20-30,14
2014-03-11-20-30,14
2014-03-11-20-30,16
2014-03-11-20-30,19
2014-03-11-20-30,24
2014-03-11-20-30,28
2014-03-11-20-30,28
2014-03-11-20-30,35
2014-03-11-20-30,36
2014-03-11-20-30,44
2014-03-11-20-30,45
2014-03-11-20-30,46
2014-03-11-20-30,47
2014-03-11-20-30,5
2014-03-11-20-30,50
2014-03-11-20-30,53
2014-03-11-20-30,58
2014-03-11-20-30,60
