date	close
2013-12-19-13-10-15	1387476615.32
2013-12-19-13-10-19	1387476619.33
2013-12-19-13-10-22	1387476622.34
2013-12-19-13-10-26	1387476626.34
2013-12-19-13-10-30	1387476630.35
2013-12-19-13-10-34	1387476634.35
2013-12-19-13-10-37	1387476637.36
2013-12-19-13-10-38	1387476638.98
2013-12-19-13-10-40	1387476640.87
2013-12-19-13-10-42	1387476642.48
2013-12-19-13-10-44	1387476644.09
2013-12-19-14-37-45	1387481865.44
2013-12-19-14-37-49	1387481869.45
2013-12-19-14-37-52	1387481872.46
2013-12-19-14-37-56	1387481876.47
2013-12-19-14-38-00	1387481880.47
2013-12-19-14-38-04	1387481884.48
2013-12-19-14-38-08	1387481888.48
2013-12-19-14-38-12	1387481892.49
2013-12-19-14-38-16	1387481896.49
2013-12-19-14-38-20	1387481900.5
2013-12-19-14-38-24	1387481904.51
2013-12-19-14-38-28	1387481908.51
2013-12-19-14-38-32	1387481912.52
2013-12-19-14-38-36	1387481916.53
2013-12-19-14-38-40	1387481920.53
2013-12-19-14-38-44	1387481924.54
2013-12-19-14-38-47	1387481927.54
2013-12-19-14-38-51	1387481931.55
2013-12-19-14-38-54	1387481934.56
2013-12-19-14-38-58	1387481938.56
2013-12-19-14-39-01	1387481941.57
2013-12-19-14-39-05	1387481945.58
2013-12-19-14-39-08	1387481948.58
2013-12-19-14-39-12	1387481952.59
2013-12-19-14-39-15	1387481955.59
2013-12-19-14-39-19	1387481959.6
2013-12-19-14-39-22	1387481962.61
2013-12-19-14-39-26	1387481966.61
2013-12-19-14-39-30	1387481970.62
2013-12-19-14-39-34	1387481974.63
2013-12-19-14-39-38	1387481978.64
2013-12-19-14-39-42	1387481982.65
2013-12-19-14-39-46	1387481986.65
2013-12-19-14-39-50	1387481990.66
2013-12-19-14-39-54	1387481994.66
2013-12-19-14-39-58	1387481998.67
2013-12-19-14-40-02	1387482002.68
2013-12-19-14-40-06	1387482006.68
2013-12-19-14-40-10	1387482010.69
2013-12-19-14-40-14	1387482014.7
2013-12-19-14-40-18	1387482018.7
2013-12-19-14-40-22	1387482022.71
2013-12-19-14-40-26	1387482026.72
2013-12-19-14-40-30	1387482030.72
2013-12-19-14-40-34	1387482034.73
2013-12-19-14-40-38	1387482038.74
2013-12-19-14-47-07	1387482427.57
2013-12-19-14-47-09	1387482429.13
2013-12-19-14-47-10	1387482430.85
2013-12-19-14-47-12	1387482432.43
2013-12-19-14-47-13	1387482433.99
2013-12-19-14-47-15	1387482435.54
2013-12-19-14-47-17	1387482437.09
2013-12-19-14-47-20	1387482440.88
2013-12-19-14-47-22	1387482442.49
2013-12-19-14-47-24	1387482444.03
2013-12-19-14-47-27	1387482447.04
2013-12-19-14-47-30	1387482450.04
2013-12-19-14-47-33	1387482453.05
2013-12-19-14-47-34	1387482454.59
2013-12-19-14-47-37	1387482457.6
2013-12-19-14-47-39	1387482459.17
2013-12-19-14-47-40	1387482460.72
2013-12-19-14-47-42	1387482462.28
2013-12-19-14-47-43	1387482463.85
2013-12-19-14-47-45	1387482465.53
2013-12-19-14-47-47	1387482467.32
2013-12-19-14-47-48	1387482468.89
2013-12-19-14-47-50	1387482470.48
2013-12-19-14-48-21	1387482501.59
2013-12-19-14-48-34	1387482514.62
2013-12-19-14-48-36	1387482516.18
2013-12-19-14-48-39	1387482519.18
2013-12-19-14-48-40	1387482520.95
2013-12-19-14-48-42	1387482522.51
2013-12-19-14-48-59	1387482539.53
2013-12-19-14-49-02	1387482542.54
2013-12-19-14-49-04	1387482544.12
2013-12-19-14-49-07	1387482547.12
2013-12-19-14-49-08	1387482548.69
2013-12-19-14-49-10	1387482550.53
2013-12-19-14-49-12	1387482552.23
2013-12-19-14-49-13	1387482553.82
2013-12-19-14-49-15	1387482555.36
2013-12-19-14-49-16	1387482556.99
2013-12-19-14-49-18	1387482558.58
2013-12-19-14-49-20	1387482560.16
2013-12-19-14-49-21	1387482561.75
2013-12-19-14-49-24	1387482564.76
2013-12-19-14-49-26	1387482566.33
2013-12-19-14-49-27	1387482567.89
2013-12-19-14-49-30	1387482570.78
2013-12-19-14-49-32	1387482572.32
2013-12-19-14-49-35	1387482575.32
2013-12-19-14-49-36	1387482576.88
2013-12-19-14-49-38	1387482578.45
2013-12-19-14-49-40	1387482580.02
2013-12-19-14-49-41	1387482581.69
2013-12-19-14-49-43	1387482583.43
2013-12-19-14-49-47	1387482587.17
2013-12-19-14-49-50	1387482590.17
2013-12-19-14-49-51	1387482591.76
2013-12-19-14-51-48	1387482708.24
2013-12-19-14-51-55	1387482715.25
2013-12-19-14-51-56	1387482716.82
