date	test_node2	test_node
2013-12-23-14-10-16	20	22.5
2013-12-23-14-11-23	20.1	22.4
2013-12-23-14-12-24	20.1	22.4
2013-12-23-14-13-26	20.2	22.5
2013-12-23-14-14-28	20.2	22.4
2013-12-23-14-15-29	20.2	22.3
2013-12-23-14-16-31	20.3	22.4
2013-12-23-14-20-32	20.4	22.3
2013-12-23-14-25-34	20.5	22.4
2013-12-23-14-40-35	20.4	22.2
2013-12-23-14-45-37	20.5	22.1
2013-12-23-14-55-39	20.5	22.1
2013-12-23-15-10-40	20.6	21.9
2013-12-23-15-15-42	20.5	21.8
2013-12-23-15-29-43	20.4	21.7
2013-12-23-15-34-31	20.3	21.5
2013-12-23-15-47-38	20.3	21.5
2013-12-23-15-51-40	20.3	21.1
2013-12-23-16-12-42	20.3	21.1
2013-12-23-16-14-43	20.3	20.1
