date	close
2013-12-19-23-00-48	1387512048.01
2013-12-19-23-00-55	1387512055.62
2013-12-19-23-00-58	1387512058.63
2013-12-19-23-01-00	1387512060.2
2013-12-19-23-01-01	1387512061.79
2013-12-19-23-01-03	1387512063.36
2013-12-19-23-01-06	1387512066.36
2013-12-19-23-01-07	1387512067.92
2013-12-19-23-01-09	1387512069.5
2013-12-19-23-01-11	1387512071.09
2013-12-19-23-01-14	1387512074.1
2013-12-19-23-01-15	1387512075.72
2013-12-19-23-01-17	1387512077.3
2013-12-19-23-01-18	1387512078.9
2013-12-19-23-01-20	1387512080.66
2013-12-19-23-01-22	1387512082.25
2013-12-19-23-01-23	1387512083.83
2013-12-19-23-01-26	1387512086.84
2013-12-19-23-01-28	1387512088.41
2013-12-19-23-01-30	1387512090.01
2013-12-19-23-01-31	1387512091.64
2013-12-19-23-01-33	1387512093.21
2013-12-19-23-01-34	1387512094.78
2013-12-19-23-01-36	1387512096.36
2013-12-19-23-01-37	1387512097.93
2013-12-19-23-01-40	1387512100.93
2013-12-19-23-01-42	1387512102.49
2013-12-19-23-01-44	1387512104.04
2013-12-19-23-01-47	1387512107.05
2013-12-19-23-01-48	1387512108.62
2013-12-19-23-01-50	1387512110.19
2013-12-19-23-01-51	1387512111.79
2013-12-19-23-01-53	1387512113.58
2013-12-19-23-01-55	1387512115.13
2013-12-19-23-01-56	1387512116.71
2013-12-19-23-01-59	1387512119.72
2013-12-19-23-02-01	1387512121.28
2013-12-19-23-02-04	1387512124.54
2013-12-19-23-02-06	1387512126.16
2013-12-19-23-02-07	1387512127.8
2013-12-19-23-02-09	1387512129.5
2013-12-19-23-02-12	1387512132.5
2013-12-19-23-02-14	1387512134.07
2013-12-19-23-02-15	1387512135.65
2013-12-19-23-02-17	1387512137.18
2013-12-19-23-02-18	1387512138.88
2013-12-19-23-02-20	1387512140.47
2013-12-19-23-02-22	1387512142.04
2013-12-19-23-02-25	1387512145.04
2013-12-19-23-02-26	1387512146.62
2013-12-19-23-02-28	1387512148.18
